#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Thu Mar 14 00:42:36 2024
# Process ID: 41358
# Current directory: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc
# Command line: xsim -mode tcl -source {xsim.dir/tb_fsic_xelab/xsim_script.tcl}
# Log file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.log
# Journal file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.jou
# Running On: roy-VirtualBox, OS: Linux, CPU Frequency: 2999.996 MHz, CPU Physical cores: 2, Host memory: 10425 MB
#-----------------------------------------------------------
source xsim.dir/tb_fsic_xelab/xsim_script.tcl
# xsim {tb_fsic_xelab} -autoloadwcfg -tclbatch {log_wave.tcl}
Time resolution is 1 ps
open_wave_config /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/tb_fsic_xelab.wcfg
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_next_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_widthIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_heightIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_sw_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_rst was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
source log_wave.tcl
## log_wave -quiet -verbose -recursive *
## run all
Test#1: FIR initialization from SOC side
fsci_system_initial: TX/RX test
LENGTH =        600
              400145=> fpga_axilite_read_req in address req phase = 00000024 - tvalid
              400185=> fpga_axilite_read_req in address req phase = 00000024 - transfer
              400185=> test2_fpga_to_up_cfg_chk :wait for soc_to_fpga_axilite_read_cpl_event
              401145=> get soc_to_fpga_axilite_read_cpl_captured be : soc_to_fpga_axilite_read_cpl_captured =00000000, fpga_is_as_tdata=fffffff6
              401145=> get soc_to_fpga_axilite_read_cpl_captured af : soc_to_fpga_axilite_read_cpl_captured =fffffff6, fpga_is_as_tdata=fffffff6
              401145=> soc_to_fpga_axilite_read_cpl_captured : send soc_to_fpga_axilite_read_cpl_event
              401145=> test2_fpga_to_up_cfg_chk : got soc_to_fpga_axilite_read_cpl_event
              401145=> test2_fpga_to_up_cfg_chk : soc_to_fpga_axilite_read_cpl_captured=fffffff6
              401145=> test2_fpga_to_up_cfg_chk [PASS] soc_to_fpga_axilite_read_cpl_expect_value=fffffff6, soc_to_fpga_axilite_read_cpl_captured[27:0]=ffffff6
              401145=> test2_fpga_to_up_cfg_chk done
              401185=> fpga_axilite_read_req in address req phase = 00000028 - tvalid
              401225=> fpga_axilite_read_req in address req phase = 00000028 - transfer
              401225=> test2_fpga_to_up_cfg_chk :wait for soc_to_fpga_axilite_read_cpl_event
              402185=> get soc_to_fpga_axilite_read_cpl_captured be : soc_to_fpga_axilite_read_cpl_captured =fffffff6, fpga_is_as_tdata=fffffff7
              402185=> get soc_to_fpga_axilite_read_cpl_captured af : soc_to_fpga_axilite_read_cpl_captured =fffffff7, fpga_is_as_tdata=fffffff7
              402185=> soc_to_fpga_axilite_read_cpl_captured : send soc_to_fpga_axilite_read_cpl_event
              402185=> test2_fpga_to_up_cfg_chk : got soc_to_fpga_axilite_read_cpl_event
              402185=> test2_fpga_to_up_cfg_chk : soc_to_fpga_axilite_read_cpl_captured=fffffff7
              402185=> test2_fpga_to_up_cfg_chk [PASS] soc_to_fpga_axilite_read_cpl_expect_value=fffffff7, soc_to_fpga_axilite_read_cpl_captured[27:0]=ffffff7
              402185=> test2_fpga_to_up_cfg_chk done
              402225=> fpga_axilite_read_req in address req phase = 0000002c - tvalid
              402265=> fpga_axilite_read_req in address req phase = 0000002c - transfer
              402265=> test2_fpga_to_up_cfg_chk :wait for soc_to_fpga_axilite_read_cpl_event
              403225=> get soc_to_fpga_axilite_read_cpl_captured be : soc_to_fpga_axilite_read_cpl_captured =fffffff7, fpga_is_as_tdata=00000017
              403225=> get soc_to_fpga_axilite_read_cpl_captured af : soc_to_fpga_axilite_read_cpl_captured =00000017, fpga_is_as_tdata=00000017
              403225=> soc_to_fpga_axilite_read_cpl_captured : send soc_to_fpga_axilite_read_cpl_event
              403225=> test2_fpga_to_up_cfg_chk : got soc_to_fpga_axilite_read_cpl_event
              403225=> test2_fpga_to_up_cfg_chk : soc_to_fpga_axilite_read_cpl_captured=00000017
              403225=> test2_fpga_to_up_cfg_chk [PASS] soc_to_fpga_axilite_read_cpl_expect_value=00000017, soc_to_fpga_axilite_read_cpl_captured[27:0]=0000017
              403225=> test2_fpga_to_up_cfg_chk done
              403265=> fpga_axilite_read_req in address req phase = 00000030 - tvalid
              403305=> fpga_axilite_read_req in address req phase = 00000030 - transfer
              403305=> test2_fpga_to_up_cfg_chk :wait for soc_to_fpga_axilite_read_cpl_event
              404265=> get soc_to_fpga_axilite_read_cpl_captured be : soc_to_fpga_axilite_read_cpl_captured =00000017, fpga_is_as_tdata=00000038
              404265=> get soc_to_fpga_axilite_read_cpl_captured af : soc_to_fpga_axilite_read_cpl_captured =00000038, fpga_is_as_tdata=00000038
              404265=> soc_to_fpga_axilite_read_cpl_captured : send soc_to_fpga_axilite_read_cpl_event
              404265=> test2_fpga_to_up_cfg_chk : got soc_to_fpga_axilite_read_cpl_event
              404265=> test2_fpga_to_up_cfg_chk : soc_to_fpga_axilite_read_cpl_captured=00000038
              404265=> test2_fpga_to_up_cfg_chk [PASS] soc_to_fpga_axilite_read_cpl_expect_value=00000038, soc_to_fpga_axilite_read_cpl_captured[27:0]=0000038
              404265=> test2_fpga_to_up_cfg_chk done
              404305=> fpga_axilite_read_req in address req phase = 00000034 - tvalid
              404345=> fpga_axilite_read_req in address req phase = 00000034 - transfer
              404345=> test2_fpga_to_up_cfg_chk :wait for soc_to_fpga_axilite_read_cpl_event
              405305=> get soc_to_fpga_axilite_read_cpl_captured be : soc_to_fpga_axilite_read_cpl_captured =00000038, fpga_is_as_tdata=0000003f
              405305=> get soc_to_fpga_axilite_read_cpl_captured af : soc_to_fpga_axilite_read_cpl_captured =0000003f, fpga_is_as_tdata=0000003f
              405305=> soc_to_fpga_axilite_read_cpl_captured : send soc_to_fpga_axilite_read_cpl_event
              405305=> test2_fpga_to_up_cfg_chk : got soc_to_fpga_axilite_read_cpl_event
              405305=> test2_fpga_to_up_cfg_chk : soc_to_fpga_axilite_read_cpl_captured=0000003f
              405305=> test2_fpga_to_up_cfg_chk [PASS] soc_to_fpga_axilite_read_cpl_expect_value=0000003f, soc_to_fpga_axilite_read_cpl_captured[27:0]=000003f
              405305=> test2_fpga_to_up_cfg_chk done
              405345=> fpga_axilite_read_req in address req phase = 00000038 - tvalid
              405385=> fpga_axilite_read_req in address req phase = 00000038 - transfer
              405385=> test2_fpga_to_up_cfg_chk :wait for soc_to_fpga_axilite_read_cpl_event
              406345=> get soc_to_fpga_axilite_read_cpl_captured be : soc_to_fpga_axilite_read_cpl_captured =0000003f, fpga_is_as_tdata=00000038
              406345=> get soc_to_fpga_axilite_read_cpl_captured af : soc_to_fpga_axilite_read_cpl_captured =00000038, fpga_is_as_tdata=00000038
              406345=> soc_to_fpga_axilite_read_cpl_captured : send soc_to_fpga_axilite_read_cpl_event
              406345=> test2_fpga_to_up_cfg_chk : got soc_to_fpga_axilite_read_cpl_event
              406345=> test2_fpga_to_up_cfg_chk : soc_to_fpga_axilite_read_cpl_captured=00000038
              406345=> test2_fpga_to_up_cfg_chk [PASS] soc_to_fpga_axilite_read_cpl_expect_value=00000038, soc_to_fpga_axilite_read_cpl_captured[27:0]=0000038
              406345=> test2_fpga_to_up_cfg_chk done
              406385=> fpga_axilite_read_req in address req phase = 0000003c - tvalid
              406425=> fpga_axilite_read_req in address req phase = 0000003c - transfer
              406425=> test2_fpga_to_up_cfg_chk :wait for soc_to_fpga_axilite_read_cpl_event
              407385=> get soc_to_fpga_axilite_read_cpl_captured be : soc_to_fpga_axilite_read_cpl_captured =00000038, fpga_is_as_tdata=00000017
              407385=> get soc_to_fpga_axilite_read_cpl_captured af : soc_to_fpga_axilite_read_cpl_captured =00000017, fpga_is_as_tdata=00000017
              407385=> soc_to_fpga_axilite_read_cpl_captured : send soc_to_fpga_axilite_read_cpl_event
              407385=> test2_fpga_to_up_cfg_chk : got soc_to_fpga_axilite_read_cpl_event
              407385=> test2_fpga_to_up_cfg_chk : soc_to_fpga_axilite_read_cpl_captured=00000017
              407385=> test2_fpga_to_up_cfg_chk [PASS] soc_to_fpga_axilite_read_cpl_expect_value=00000017, soc_to_fpga_axilite_read_cpl_captured[27:0]=0000017
              407385=> test2_fpga_to_up_cfg_chk done
              407425=> fpga_axilite_read_req in address req phase = 00000040 - tvalid
              407465=> fpga_axilite_read_req in address req phase = 00000040 - transfer
              407465=> test2_fpga_to_up_cfg_chk :wait for soc_to_fpga_axilite_read_cpl_event
              408425=> get soc_to_fpga_axilite_read_cpl_captured be : soc_to_fpga_axilite_read_cpl_captured =00000017, fpga_is_as_tdata=fffffff7
              408425=> get soc_to_fpga_axilite_read_cpl_captured af : soc_to_fpga_axilite_read_cpl_captured =fffffff7, fpga_is_as_tdata=fffffff7
              408425=> soc_to_fpga_axilite_read_cpl_captured : send soc_to_fpga_axilite_read_cpl_event
              408425=> test2_fpga_to_up_cfg_chk : got soc_to_fpga_axilite_read_cpl_event
              408425=> test2_fpga_to_up_cfg_chk : soc_to_fpga_axilite_read_cpl_captured=fffffff7
              408425=> test2_fpga_to_up_cfg_chk [PASS] soc_to_fpga_axilite_read_cpl_expect_value=fffffff7, soc_to_fpga_axilite_read_cpl_captured[27:0]=ffffff7
              408425=> test2_fpga_to_up_cfg_chk done
              408465=> fpga_axilite_read_req in address req phase = 00000044 - tvalid
              408505=> fpga_axilite_read_req in address req phase = 00000044 - transfer
              408505=> test2_fpga_to_up_cfg_chk :wait for soc_to_fpga_axilite_read_cpl_event
              409465=> get soc_to_fpga_axilite_read_cpl_captured be : soc_to_fpga_axilite_read_cpl_captured =fffffff7, fpga_is_as_tdata=fffffff6
              409465=> get soc_to_fpga_axilite_read_cpl_captured af : soc_to_fpga_axilite_read_cpl_captured =fffffff6, fpga_is_as_tdata=fffffff6
              409465=> soc_to_fpga_axilite_read_cpl_captured : send soc_to_fpga_axilite_read_cpl_event
              409465=> test2_fpga_to_up_cfg_chk : got soc_to_fpga_axilite_read_cpl_event
              409465=> test2_fpga_to_up_cfg_chk : soc_to_fpga_axilite_read_cpl_captured=fffffff6
              409465=> test2_fpga_to_up_cfg_chk [PASS] soc_to_fpga_axilite_read_cpl_expect_value=fffffff6, soc_to_fpga_axilite_read_cpl_captured[27:0]=ffffff6
              409465=> test2_fpga_to_up_cfg_chk done
              409505=> fpga_axilite_read_req in address req phase = 00000048 - tvalid
              409545=> fpga_axilite_read_req in address req phase = 00000048 - transfer
              409545=> test2_fpga_to_up_cfg_chk :wait for soc_to_fpga_axilite_read_cpl_event
              410505=> get soc_to_fpga_axilite_read_cpl_captured be : soc_to_fpga_axilite_read_cpl_captured =fffffff6, fpga_is_as_tdata=00000000
              410505=> get soc_to_fpga_axilite_read_cpl_captured af : soc_to_fpga_axilite_read_cpl_captured =00000000, fpga_is_as_tdata=00000000
              410505=> soc_to_fpga_axilite_read_cpl_captured : send soc_to_fpga_axilite_read_cpl_event
              410505=> test2_fpga_to_up_cfg_chk : got soc_to_fpga_axilite_read_cpl_event
              410505=> test2_fpga_to_up_cfg_chk : soc_to_fpga_axilite_read_cpl_captured=00000000
              410505=> test2_fpga_to_up_cfg_chk [PASS] soc_to_fpga_axilite_read_cpl_expect_value=00000000, soc_to_fpga_axilite_read_cpl_captured[27:0]=0000000
              410505=> test2_fpga_to_up_cfg_chk done
              410545=> fpga_axilite_read_req in address req phase = 00000010 - tvalid
              410585=> fpga_axilite_read_req in address req phase = 00000010 - transfer
              410585=> test2_fpga_to_up_cfg_chk :wait for soc_to_fpga_axilite_read_cpl_event
              411505=> get soc_to_fpga_axilite_read_cpl_captured be : soc_to_fpga_axilite_read_cpl_captured =00000000, fpga_is_as_tdata=00000258
              411505=> get soc_to_fpga_axilite_read_cpl_captured af : soc_to_fpga_axilite_read_cpl_captured =00000258, fpga_is_as_tdata=00000258
              411505=> soc_to_fpga_axilite_read_cpl_captured : send soc_to_fpga_axilite_read_cpl_event
              411505=> test2_fpga_to_up_cfg_chk : got soc_to_fpga_axilite_read_cpl_event
              411505=> test2_fpga_to_up_cfg_chk : soc_to_fpga_axilite_read_cpl_captured=00000258
              411505=> test2_fpga_to_up_cfg_chk [PASS] soc_to_fpga_axilite_read_cpl_expect_value=00000258, soc_to_fpga_axilite_read_cpl_captured[27:0]=0000258
              411505=> test2_fpga_to_up_cfg_chk done
              411585=> fpga_axilite_write_req in address phase = f0000000 - tvalid
              411625=> fpga_axilite_write_req in address phase = f0000000 - transfer
              411625=> fpga_axilite_write_req in data phase = 00000001 - tvalid
              411665=> fpga_axilite_write_req in data phase = 00000001 - transfer
test1: stream_FIR_data -start
test1_fpga_axis_req() -start
              415705=> fpga_axis_req send data, fpga_as_is_tupsb = 00001, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000001
              415745=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000002
              415785=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000003
              415825=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000004
              415865=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000005
              415905=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000006
              415945=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000007
              415985=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000008
              416025=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000009
              416065=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000000a
              416105=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000000b
              416145=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000000c
              416185=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000000d
              416225=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000000e
              416265=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000000f
              416305=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000010
              416345=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000011
              416625=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=         0,  soc_to_fpga_axis_captured[         0] =xxxX00000000, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000000
              416625=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=         0,  soc_to_fpga_axis_captured[         0] =xxxX00000000, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000000
              417185=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=         1,  soc_to_fpga_axis_captured[         1] =xxxXfffffff6, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffff6
              417185=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=         1,  soc_to_fpga_axis_captured[         1] =xxxXfffffff6, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=fffffff6
              417745=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=         2,  soc_to_fpga_axis_captured[         2] =xxxXffffffe3, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffffe3
              417745=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=         2,  soc_to_fpga_axis_captured[         2] =xxxXffffffe3, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffffe3
              418305=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=         3,  soc_to_fpga_axis_captured[         3] =xxxXffffffe7, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffffe7
              418305=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=         3,  soc_to_fpga_axis_captured[         3] =xxxXffffffe7, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=ffffffe7
              418865=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=         4,  soc_to_fpga_axis_captured[         4] =xxxX00000023, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000023
              418865=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=         4,  soc_to_fpga_axis_captured[         4] =xxxX00000023, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000023
              419425=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=         5,  soc_to_fpga_axis_captured[         5] =xxxX0000009e, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000009e
              419425=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=         5,  soc_to_fpga_axis_captured[         5] =xxxX0000009e, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000009e
              419985=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=         6,  soc_to_fpga_axis_captured[         6] =xxxX00000151, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000151
              419985=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=         6,  soc_to_fpga_axis_captured[         6] =xxxX00000151, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000151
              420545=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=         7,  soc_to_fpga_axis_captured[         7] =xxxX0000021b, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000021b
              420545=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=         7,  soc_to_fpga_axis_captured[         7] =xxxX0000021b, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000021b
              421105=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=         8,  soc_to_fpga_axis_captured[         8] =xxxX000002dc, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000002dc
              421105=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=         8,  soc_to_fpga_axis_captured[         8] =xxxX000002dc, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000002dc
              421225=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000012
              421265=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000013
              421305=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000014
              421345=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000015
              421385=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000016
